,YER,PCR,GCR,ITR,XTR,MTR,YED,PCD,GCD,ITD,XTD,MTD,YFD,YIN,WIN,GON,TIN,YFN,HICP,HEX,HEG,HICPSYA,HEXSYA,HEGSYA,HEGWEI,CAN_YEN,NFN_YEN,LFN,LNN,UNN,URX,LEN,STN,LTN,COMPR,POILU,PCOMU,YWD,YWDX,YWR,YWRX,LPROD,ULC,WRN,SAX,EEN,EXR
1970Q1,738304.2505,410133.6176,131523.2495,191787.3207,102186.9458,105442.4773,0.16383053,0.166615001,0.14012188,0.170252399,0.219786232,0.220359608,0.14435977,120956.7766,59582.91667,46998.51547,14375.34448,106581.4321,20.05150226,NA,NA,NA,NA,NA,NA,NA,NA,123288.1318,121349.6617,1938.470153,0.015723088,93032.98021,7.986993218,7.922865,6.885210208,2.23,37.35387966,0.221355952,0.273282988,51.1554013,16127.50509,6.084106376,0.080702389,0.491001918,0.288145242,1.577990802,NA
1970Q2,752495.8668,415237.9373,133852.0961,203176.7206,104809.6023,108065.3775,0.167228371,0.169092118,0.144713973,0.172912578,0.225118254,0.225487161,0.147612896,125838.658,62334.9919,48743.10213,14760.564,111078.094,20.2773111,NA,NA,NA,NA,NA,NA,NA,NA,123332.2443,121453.2996,1878.944682,0.015234821,93367.41047,7.956545004,8.254439,6.869299806,2.23,37.13845936,0.224907817,0.278267172,52.30558245,16482.11493,6.195763055,0.082837654,0.513242473,0.290514216,1.567469928,NA
1970Q3,761561.6109,420219.2604,135792.6245,206267.9254,107218.7782,111736.3777,0.169727233,0.171944955,0.146887736,0.175421529,0.229576327,0.226613824,0.149988202,129257.7448,64841.41634,49383.84066,15032.48778,114225.257,20.46564955,NA,NA,NA,NA,NA,NA,NA,NA,123554.623,121610.1928,1944.430186,0.015737413,93722.22163,7.602188806,8.384747,6.756344236,2.23,35.63051727,0.228945501,0.28331111,52.79398403,16647.98517,6.262317274,0.085142706,0.533190639,0.28905207,1.563871791,NA
1970Q4,770787.034,428379.2359,138028.607,205426.3585,108676.9903,112039.9875,0.171640137,0.174094301,0.147600293,0.177761482,0.233053904,0.228052467,0.151329363,132297.992,67221.28062,49421.43017,15655.28122,116642.7108,20.72362542,NA,NA,NA,NA,NA,NA,NA,NA,123754.2293,121823.346,1930.88331,0.015602564,94172.95936,7.242308404,8.340932,6.720253078,2.23,35.15659262,0.234134953,0.288405441,52.66412512,16715.24292,6.32708803,0.087211224,0.551793091,0.283672614,1.563229352,NA
1971Q1,769439.321,431328.939,138489.1734,204324.6526,110886.7074,113888.1707,0.176253026,0.176534324,0.157693624,0.182352996,0.23476691,0.230165055,0.155727858,135616.009,69575.96534,50247.17161,15792.87203,119823.137,21.10323086,NA,NA,NA,NA,NA,NA,NA,NA,124006.3387,122039.6285,1966.710151,0.015859755,94638.35257,6.516898213,7.860624,7.322391736,2.55,35.63051727,0.237980018,0.291823527,53.02549436,16753.56988,6.304831721,0.090424239,0.570109613,0.286548785,1.566642261,0.972365128
1971Q2,779295.9621,437728.8721,140987.4904,209724.7134,110805.7231,113051.812,0.178252793,0.179174295,0.158550361,0.185364225,0.237058138,0.23230597,0.157612215,138911.682,71108.67189,51717.89072,16085.11942,122826.5626,21.45917206,NA,NA,NA,NA,NA,NA,NA,NA,124363.9883,122299.2434,2064.744932,0.016602434,94933.44958,5.938637529,7.930762,8.770001822,3.45,35.54434915,0.241837643,0.294811938,53.82106261,16947.21381,6.372042381,0.091247325,0.581431822,0.28534454,1.558552234,0.967501374
1971Q3,791449.7885,441548.1555,142512.031,210715.5966,116108.3937,116293.3738,0.180892941,0.18207249,0.162787015,0.187432137,0.239345046,0.236793772,0.159957887,143167.6799,73511.63814,53086.99747,16569.04431,126598.6356,21.71178559,NA,NA,NA,NA,NA,NA,NA,NA,124000.2803,121939.3423,2060.937937,0.01662043,95085.80806,6.226212562,8.026981,8.694480389,3.42,35.24276074,0.24588434,0.296729539,54.28357958,17128.2209,6.490520396,0.092882251,0.602854146,0.286123949,1.535675031,0.951682809
1971Q4,797744.7514,446638.5608,143574.6924,213342.7221,116127.4641,117348.7556,0.183390083,0.184182624,0.164003095,0.190006172,0.237915584,0.235743077,0.162359778,146298.476,75553.73751,53967.92319,16776.81528,129521.6607,22.04091711,NA,NA,NA,NA,NA,NA,NA,NA,124158.2427,121935.1046,2223.138069,0.017905682,95369.65256,6.005823296,7.84603,8.706149732,3.4,35.67360133,0.25001729,0.297484828,54.44236468,17272.84348,6.542371483,0.094709163,0.619622526,0.290626074,1.533636991,0.927411266
1972Q1,809565.8359,454242.6785,146031.2521,215876.0065,121329.9412,123102.1811,0.187494249,0.187223598,0.170544827,0.192877711,0.240151411,0.233843755,0.166022318,151788.9385,78821.52607,55584.47055,17382.94191,134405.9966,22.413587,NA,NA,NA,NA,NA,NA,NA,NA,124432.2119,122064.2608,2367.951125,0.019030049,95762.75604,5.046600907,7.587651,9.353002336,3.57667,39.55116669,0.254266558,0.29928639,55.23409102,17526.58786,6.632292129,0.097362713,0.645737955,0.29447573,1.509612085,0.887363974
1972Q2,815017.008,456239.9103,146856.4932,218907.577,122619.4624,126290.6068,0.190136876,0.189693712,0.172056281,0.195676306,0.245310965,0.234457005,0.168474453,154964.7876,80468.85617,56840.68869,17655.24272,137309.5449,22.73371899,NA,NA,NA,NA,NA,NA,NA,NA,124513.717,122108.9729,2404.744173,0.019313086,96006.95904,4.753677934,7.549709,9.468470834,3.64,39.72350293,0.257760189,0.304213889,56.36392402,17744.97898,6.674505476,0.098732732,0.658992163,0.295843325,1.502523291,0.882077456
